ID,Tipo,Impacto,categoria,Detalles,,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3
CB01,Económico,Positivo,Venta de postes,palo colorado,,Anual,postes producidos,1120,,,5,,,feb-2020,feb-2021,,Logarítmica,,,
CB01b,Económico,Positivo,Venta de postes,palo colorado,,Anual,postes producidos,1120,,,5,,,feb-2023,feb-2024,,,,,
CB02,Económico,Positivo,venta de vigas,amapa,,Inicial (única vez),vigas producidas,10560,,,10,,,ene-2024,feb-2024,,Lineal,,,
CB03,Económico,Positivo,productividad ganadera,Enriquecimiento de forraje (becerros),,Cada 2 años,becerros ,0.3,,,2250,,,ene-2019,dic-2025,,Lineal,,,
CB04,Económico,Positivo,productividad ganadera,Producción de leche,,Anual,litros de leche,90,,,3,,,ene-2019,dic-2025,,Bass (Modelo de difusión),,,
CB05,Económico,Positivo,Venta de leña,aprovechamiento de otras plantas,,Cada 4 años,cargas de leña,80,,,10,,,feb-2020,feb-2024,,,,,
CB06,Ambiental,Positivo,Conservación de suelos,costos de desasolve evitados,,Anual,ahorro en desasolves,1,,,6400,,,dic-2015,dic-2025,,,,,
CB07,Social,Positivo,Pago de jonales,plantación y cercos,,Inicial (única vez),proyecto plant y const,1,,,29180,,,ene-2015,abr-2015,,,,,
CB08,Económico,Positivo,Compra de plantas y material,para cercado,,Inicial (única vez),compra de material local,1,,,21720,,,ene-2015,ene-2016,,,,,
CB09,Económico,Negativo,cosecha postes,cortes de palo colorado cosecha 1,,Anual,cortes,1120,,,1,,,ene-2020,ene-2021,,,,,
CB09,Económico,Negativo,cosecha postes,cortes de palo colorado cosecha2,,Anual,cortes ,1120,,,1,,,ene-2023,ene-2024,,,,,
CB10,Económico,Negativo,cosecha vigas ,corte de amapa,,Inicial (única vez),cortes,10560,,,3,,,ene-2024,feb-2024,,,,,
CB11,Económico,Negativo,Costo de oportunidad,ausencia de becerros y leche durante 4 años,,Anual,renta de tierra,1,,,2400,,,dic-2015,dic-2018,,,,,
CB12,Económico,Negativo,recolección de leña,por peon,,Cada 4 años,cargas de leña,80,,,5,,,ene-2020,ene-2024,,,,,
CB13,Ambiental,Negativo,degradación de suelo,por aumento de presión por cabeza de ganado,,Anual,costos de compactacion,1,,,1600,,,ene-2020,ene-2025,,,,,
