ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,precio unitario,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3
CB01,Económico,Positivo,Venta de postes,1er corte: 50%,0,Inicial (única vez),ha,,,,,,,ene-2015,dic-2020,0,Lineal,,,
CB02,Económico,Positivo,Venta de postes,2do corte: 50%,0,Inicial (única vez),ha,,,,,,,ene-2021,dic-2021,0,Lineal,,,
CB03,Económico,Positivo,Venta de postes,3er corte: 100%,0,Inicial (única vez),ha,,,,,,,ene-2022,dic-2023,0,Lineal,,,
CB04,Económico,Positivo,Venta de postes,4to corte: 100%,0,Inicial (única vez),ha,,,,,,,ene-2024,dic-2024,0,Lineal,,,
CB05,Económico,Positivo,Venta de vigas,Cada 9 años,0,Inicial (única vez),viga,"10,560",,,10,,,ene-2015,dic-2024,0,Lineal,,,
CB06,Económico,Positivo,Ganadero,Becerrito,0,Cada 4 años,becerro bebé ,5,,,1875,,,ene-2015,dic-2024,0,Lineal,,,
CB07,Económico,Positivo,Producción de leche,Venta,0,Cada año,litro,300,,,3,,,ene-2015,dic-2024,0,Lineal,,,
CB08,Económico,Positivo,Producción de leña,Recolecta,0,Cada año,cargas,80,,,10,,,ene-2015,dic-2024,0,Lineal,,,
CB09,Ambiental,Positivo,Disminución de erosión ,costo por remoción de tierra,0,Cada año,ha,80,,,80,,,ene-2015,dic-2024,1,Lineal,,,
CB10,Económico,Negativo,Cercado,Plantas y material,0,Inicial (única vez),platas,16000,,,21700,,,ene-2015,dic-2015,0,Lineal,,,
CB11,Económico,Negativo,Construcción,Mano de obra,0,Inicial (única vez),comunidad,1,,,29180,,,ene-2015,dic-2015,0,Lineal,,,
CB12,Económico,Negativo,Cosecha,Amapa,0,Inicial (única vez),platas,1400,,,3,,,ene-2015,dic-2015,0,Lineal,,,
CB13,Económico,Negativo,Cosecha,Amapa,0,Inicial (única vez),platas,1400,,,3,,,ene-2015,dic-2015,0,Lineal,,,
CB14,Económico,Negativo,Cosecha,Amapa,0,Inicial (única vez),platas,2800,,,3,,,ene-2015,dic-2015,0,Lineal,,,
CB15,Económico,Negativo,Cosecha,Amapa,0,Inicial (única vez),platas,2800,,,3,,,ene-2015,dic-2015,0,Lineal,,,
CB16,Económico,Negativo,Cosecha,Palo colorado,0,Inicial (única vez),platas,12300,,,1,,,ene-2015,dic-2015,0,Lineal,,,
CB17,Económico,Negativo,Costo de oportunidad,Dejar de reforestar,0,Cada año,ha,80,,,30,,,ene-2015,dic-2015,0,Lineal,,,
CB18,Económico,Negativo,Costo de recolectar leña,,0,Cada 6 meses,carga,80,,,5,,,ene-2015,dic-2015,0,Lineal,,,
CB19,Económico,Negativo,Degradación de suelo,,0,Cada año,ha,80,,,80,,,ene-2020,dic-2024,0,Lineal,,,
